question,answer,label
Is there a role of proton beam therapy in medulloblastoma treatment?,"Yes, proton beam therapy is used for treatment of medulloblastoma.",1
Which protein complexes recognize centromeric (CEN) DNA in yeast?,"The Schizosaccharomyces pombe centromere-linked genes, LYS1 and CYH1 on chromosome I and TPS13 and RAN1 on chromosome II, have been isolated. In budding yeast, as well as in other eukaryotes, the Cse4 histone variant (known in vertebrates as CENP-A) is believed to substitute for histone H3 at the centromeric nucleosome. The Schizosaccharomyces pombe centromere-linked genes, LYS1 and CYH1 on chromosome I and TPS13 and RAN1 on chromosome II, have been isolated Histone H3 localizes to the centromeric DNA in budding yeast  In budding yeast, as well as in other eukaryotes, the Cse4 histone variant (known in vertebrates as CENP-A) is believed to substitute for histone H3 at the centromeric nucleosome The Schizosaccharomyces pombe centromere-linked genes, LYS1 and CYH1 on chromosome I and TPS13 and RAN1 on chromosome II, have been isolated",1
Are there canonical marks of active chromatin in developmentally regulated genes?,"No. The transcription of genes temporally regulated during fly and worm development occurs in the absence of canonically active histone modifications. Conversely, strong chromatin marking is related to transcriptional and post-transcriptional stability, an association also observed in mammals. Consequently, chromatin marking is associated with the stable production of RNA, whereas unmarked chromatin would permit rapid gene activation and deactivation during development. In the latter case, regulation by transcription factors would have a comparatively more important regulatory role than chromatin marks.",1
Which cells express CIDEC protein in humans?,"The cell death-inducing DNA fragmentation factor alpha-like effector c (CIDEC) is a lipid droplet-associated protein that promotes intracellular triglyceride (TAG) storage. CIDEC is highly expressed in adipocytes, but undetectable in normal liver. However, its hepatic expression rises during fasting or under genetic or diet-induced hepatosteatosis in patients.",1
What is the function of BAX,BAX is a central death regulator that controls apoptosis in normal and cancer cells pro-apoptotic protein Bax,1
Which is the relation between coffee consumption and stroke risk?,The coffee paradox in stroke: Increased consumption linked with fewer strokes.,1
What is the purpose of the Orpington Prognostic Scale?,"The Orpington Prognostic Scale (OPS) is used to predict futue functional status of stroke patients, to asses stroke severity, outcome and response to subacute rehabilitation. In patients with stroke, OPS and NIHSS had significant contribution to the estimation of the functional status and OPS was more effective than NIHSS. However, other reported that the OPS has limited predictive accuracy for discharge destination and is a poor predictor of follow-up services.",1
Do IEG create a ripple effect of transcription?,"Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes. Profiling the primary transcripts in the nucleus with whole-genome tiling arrays delineated simultaneous activation of transcription centred on IEGs. rapid induction of immediate-early genes (iegs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes. Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes. Even in surrounding intergenic regions, transcriptional activation took place at the same time. Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes. Here we show that intensive transcription at one locus frequently spills over into its physical neighbouring loci. Rapid induction of immediate-early genes (IEGs) in response to growth factor stimulations is accompanied by co-upregulation of their neighbouring genes.",1
Which R package is used for the analysis of genome-wide DNA methylation profiles?,"MethylKit is a comprehensive R package for the analysis of genome-wide DNA methylation profiles. MethylKit includes functions for clustering, sample quality visualization, differential methylation analysis and annotation features, thus automating and simplifying many of the steps for discerning statistically significant bases or regions of DNA methylation.",1
Is butterfly rash a symptom of Systemic lupus erythematosus?,"Yes, butterfly rash is symptom of Systemic lupus erythematosus.",1
Do T-Cells regulate neuropathic pain?,Macrophage-T cell interactions can mediate neuropathic pain through the glucocorticoid-induced TNF,1
Can telomere length shortening be reversed by telomerase?,"Yes, telomerase gene therapy rescues telomere length, bone marrow aplasia, and survival in mice with aplastic anemia.",1
What are clinical features of the de Morsier syndrome?,"Classic triad of the De Morsier syndrome (septooptic dysplasia) includes optic nerve hypoplasia, the absence of septum pellucidum, and pituitary hypoplasia.",1
Which is the largest metabolic gene cluster in yeast?,"The DAL cluster is the largest metabolic gene cluster in yeast and consists of six adjacent genes encoding proteins that enable Saccharomyces cerevisiae to use allantoin as a nitrogen source. the dal cluster is the largest metabolic gene cluster in yeast and consists of six adjacent genes encoding proteins that enable saccharomyces cerevisiae to use allantoin as a nitrogen source. The DAL cluster is the largest metabolic gene cluster in yeast and consists of six adjacent genes encoding proteins that enable Saccharomyces cerevisiae to use allantoin as a nitrogen source. The DAL cluster is located in a domain of modified chromatin involving both H2A.Z histone exchange and Hst1-Sum1-mediated histone deacetylation, and it may be a coadapted gene complex formed by epistatic selection. The DAL cluster is the largest metabolic gene cluster in yeast and consists of six adjacent genes encoding proteins that enable Saccharomyces cerevisiae to use allantoin as a nitrogen source. Six of the eight genes involved in allantoin degradation, which were previously scattered around the genome, became relocated to a single subtelomeric site in an ancestor of S. cerevisiae and Saccharomyces castellii.",1
Is there any involvement of the long non-coding RNA Gomafu in schizophrenia?,Yes. The long non-coding RNA Gomafu is acutely regulated in response to neuronal activation and involved in schizophrenia-associated alternative splicing.,1
Which are the main brain dysfunctions caused by hyperbilirubinemia?,"Bilirubin-induced neurologic dysfunction (BIND) and classical kernicterus are the main dysfunctions of hyperbilirubinemia, whenever bilirubin levels exceed the capacity of the brain defensive mechanisms in preventing its entrance and cytotoxicity. Bilirubin accumulation may lead to deficits in auditory, cognitive, and motor processing, due to neuronal cell death, reduced myelination and glial activation.",1
What is the incidence of new cases of X-linked adrenoleukodystrophy (ALD) in Australian and New Zealand in the late 1990's?,"cases of ALD diagnosed in Australia and New Zealand between 1981 and 1996 and their families. We estimate that the combined incidence of ALD and its variants in Australasia is at least 1.6 per 100,000.  cases of ALD diagnosed in Australia and New Zealand between 1981 and 1996 and their families. We estimate that the combined incidence of ALD and its variants in Australasia is at least 1.6 per 100,000. When looking cases of  ALD diagnosed in Australia and New Zealand between 1981 and 1996, it was estimated that the combined incidence of ALD and its variants in Australasia is at least 1.6 per 100,000.",1
Is ABCE1 involved in ribosomal recycling?,"Yes, recent studies have identified ABCE1 as a ribosome-recycling factor important for translation termination in mammalian cells, yeast and also archaea",1
